case_title,case_description,required_roles
Идентификация дефектов печатных плат методами машинного обучения,Идентификация дефектов печатных плат (PCB) методами машинного обучения для небольшого производства в МАИ,"ML engineer, Python Backend, Тестировщик, Аналитик, Дизайнер"
Редкие животные в ЯНАО,"Система автоматического подсчета редких животных (северные олени, моржи) в Ямало-Ненецкий автономный округе и на северных островах РФ при помощи нейронных сетей по изображениям аэрофотосъемки.
","ML engineer, CV engineer, Python Backend, Дизайнер, Тестировщик"
Платформа командообразования,"Для эффективного командообразования студентов с разных факультетов и курсов, обучающихся на программах Цифровой кафедры необходим удобный механизм объдинения в команды и выбора проектов","Аналитик, Дизайнер, Frontend, Java Backend, Python Backend"
Удаление облаков,Алгоритм удаления облаков на спутниковых снимках с использованием различных методов машинного обучения.,"ML engineer, CV engineer, Python Backend, ML Ops Engineer, Тестировщик"
Карта горных выработок в Красноярском крае,Оценка горных выработок в районе добычи золото-добывающего карьеров «Олимпиада» и «Благодатное» в Красноярском крае с использованием данных ДЗЗ,"Геодезист, Аналитик, ML engineer, DevOps, Дизайнер"
Тепловые процессы лазерных установок,Математическое моделирование тепловых процессов в элементах конструкций лазерных технологических установок ,"ML engineer, Python Backend, Аналитик, Дизайнер, Тестировщик"
Алгоритмы машинного обучения для определения нарушений дыхания во сне,"Компания АО ""Медиатек"" проектирует и эксплуатирует большое количество приборов для получения информации о здоровьте человека. Требуется разработать алгоритмы AI определение сна, дыхательных событий, типов нарушений сна (апноэ, гипапноэ), падения насыщения кислородом в крови, типов нарушений дыхания во сне.
Стек технологий:
- Python,
- NumPy,
- TensorFlow,
- C#,
- C++,
- Matlab","ML engineer, Python Backend, C++ Backend, Аналитик, Тестировщик"
Построение вопрос-ответного чат-бота на основании семантической близости запросов,"Имея текстовую документацию, с помощью LLM формируем по ней вопрос-ответные пары, затем на запрос пользователя ищем наиболее релевантную пару и выдаем соответствующий ответ.","ML engineer, Python Backend, DevOps, Тестировщик, Аналитик"
Система учета потребностей в обучении для сотрудников в возрасте 50+,"Требования:
1. Разработать структуру БД для хранения данных о сотруднике, его компетенциях и сроках потребностей
2. Разработать интерфейс для ввода/редактирования и администрирования данных
","Аналитик, Дизайнер, Python Backend, Тестировщик, DevOps"
Использование искусственного интеллекта для прогнозирования требований к виртуальным машинам на основе исторических данных,"В этой работе студенты будут использовать искусственный интеллект для прогнозирования будущих потребностей в виртуальных машинах на основе анализа исторических данных. Они будут разрабатывать модель машинного обучения, которое позволит компании быть готовой к изменениям в использование ресурсов и оптимизировать их использование.","ML engineer, Python Backend, DevOps, Аналитик, Тестировщик"
Выявление значимых общественно-политических и экономических событий на курсовую стоимость валюты на основе семантического анализа,"Проект ""Выявление значимых общественно-политических и экономических событий на курсовую стоимость валюты на основе семантического анализа"" направлен на изучение взаимосвязи между ключевыми событиями и колебаниями валютных курсов через применение машинного обучения.

Основная цель проекта - повышение точности прогнозирования динамики валютных курсов на основе текущих новостей, что позволит принимать более обоснованные финансовые решения. Проект включает в себя сбор и предобработку данных, классификацию новостей, анализ их значимости и визуализацию результатов через веб-интерфейс.

Проект ставит перед собой задачу не только технического анализа данных, но и практического применения полученных знаний для улучшения финансовых стратегий на основе актуальной общественно-политической и экономической ситуации.","ML engineer, Аналитик, Python Backend, Дизайнер, DevOps"
Рекомендательная система подбора новых курсов для переобучения сотрудников,"Требования:
1. Реализовать систему тестирования на наличие компетенций
2. Разработать рекомендательный алгоритм
3. Создать систему хранения учебных курсов с учетом развивающих компетенций
","ML engineer, Аналитик, Python Backend, Дизайнер"
Технология создания консистентных изображений мультипликационных персонажей для генеративного ИИ,"С помощью одного запроса генерируем Character Sheet с различными позами одного и того же персонажа, далее на этих изображениях дообучаем генеративую модель с помощью DreamBooth. 
В качестве примера создаём комикс для абитуриентов МАИ.
https://twitter.com/rodrigon/status/1744923374399160686","ML engineer, Python Backend, Дизайнер, Аналитик, ML Ops Engineer"
Разработка программного обеспечения для проектирования космического солнечного зонда,"Цель: 
Разработка программного обеспечения для проектирования космического солнечного зонда
Задачи: 
  Создание и распределение ролей в команде
Выбор методики проектирования космического солнечного зонда
Выбор языка программирования
Разбиение аппарата на системы, которые необходимо будет рассчитывать
Определение входных и выходных параметров для каждой из систем
Создание программного обеспечения на основе расчетного файла с формулами
Результат:
Программное обеспечение, позволяющее спроектировать космический аппарат","Инженер БПЛА, Java Backend, Аналитик, Дизайнер, ML engineer"
Алгоритм поиска первопричин ошибок и проблем производительности в микросервисных веб-приложениях.,"На сегодняшний день большинство веб-сервисов и систем представляют из себя совокупность микросервисов, которые последовательно или параллельно вызывают друг-друга, выполняя бизнес-логику и формируя конечный результат для пользователя.
При этом усложняется автоматизация и отлаживание. Ошибки и проблемы с производительностью, возникающие в одном компоненте, распространяются в системе.

Необходимо сформулировать алгоритм, визуальная часть которого может быть реализована как веб-страница, который обозначает, какой компонент системы является причиной возникшей ситуации, и высчитывает степень влияния возникшей ошибки на общее состояние системы.","Аналитик, Java Backend, Frontend, Дизайнер, Тестировщик"
Управляющие программы для лазеров,Разработка управляющих программ для специального лазерного технологического оборудования,"Python Backend, ML engineer, DevOps, Тестировщик, Инженер БПЛА"
"Обработка открытых данных SCADA и разработка  модели предсказания выработки мощности для  ветропарка по данным соревнования  KDD CUP 2022""","Ветроэнергетика – нестабильная генерация электроэнергии.

📌Задача кейса: 

Пространственный динамический прогноз скорости и мощности на 48 часов вперед. 

📎Более подробную информацию о проекте, вы получите выбрав этот кейс!","ML engineer, Python Backend, Аналитик, DevOps, ML Ops Engineer"
Генерация графических изображений,Разработка технологии на применение генеративных нейронных сетей для графических изображений,"ML engineer, Дизайнер, Python Backend, CV engineer, ML Ops Engineer"
Умная аналитика социальных медиа,"Разработка метода унификации в идентификации объекта интереса в сообщениях электронных СМИ

Контактное лицо: Кубриков Дмитрий Владимирович","Аналитик, ML engineer, Python Backend, Дизайнер, Тестировщик"
"Анализ работы многопоточного ПО, работающего под управлением ОС реального времени","В рамках данной работы нужно будет освоить основы работы с ОС реального времени, изучить подходы к анализу работы ПО на данной ОС","Аналитик, Python Backend, Тестировщик, DevOps, ML engineer"
AIOps: Система анализа логов для поиска аномалий,"Проект ""AIOps: Система Анализа Логов для Поиска Аномалий"" направлен на разработку передовой системы искусственного интеллекта, предназначенной для мониторинга, анализа и обнаружения аномалий в логах систем. Этот проект предлагает студентам возможность работать с реальными данными и применять методы машинного обучения и глубокого обучения для решения задач AIOps (Artificial Intelligence for IT Operations).

Цели проекта:
- Разработка алгоритмов машинного обучения: Создание и обучение моделей для эффективного обнаружения аномалий в больших объемах лог-данных.
- Автоматизация процессов IT-операций: Улучшение надежности и доступности систем путем раннего обнаружения и предотвращения потенциальных сбоев.
- Анализ и обработка данных: Применение методов предварительной обработки и анализа данных для выявления закономерностей и аномалий.
- Интеграция с существующими системами: Обеспечение возможности интеграции разработанной системы с существующими инструментами мониторинга и управления IT-инфраструктурой.

Задачи проекта:
- Изучение существующих подходов AIOps: Анализ литературы и существующих решений для поиска аномалий в логах систем.
- Сбор и предварительная обработка данных: Работа с лог-файлами, очистка данных и их подготовка для анализа.
- Разработка моделей машинного обучения: Применение различных алгоритмов машинного обучения и глубокого обучения для создания моделей, способных эффективно обнаруживать аномалии.
- Тестирование и оценка системы: Проведение экспериментов для оценки эффективности разработанной системы на реальных или симулированных данных.
- Разработка архитектуры: Создание архитектуры на базе k8s с чтением системных логов различных сервисов.
- Документация и представление результатов: Подготовка технической документации и презентация результатов проекта.","ML engineer, DevOps, Python Backend, Тестировщик, Аналитик"
Карта бытовых отходов,Мониторинг мест складирования твердых бытовых отходов по данным спутниковых снимков и аэрофотосъемки.,"ML engineer, Аналитик, Дизайнер, Python Backend, DevOps"
Замена персонажей в литературных произведениях с помощью больших языковых моделей,"Экспериментируем с автоматическим переписыванием литературных произведений, например, заменяя ""Алису"" в Алисе в стране чудес на ""Иванушку-дурачка"" (с помощью Chat-GPT промптов).","ML engineer, Python Backend, Аналитик, Дизайнер"
Нахождение аномалий в работе веб-приложения методом анализа временных рядов,"На сегодняшний день от большинства веб-сервисов требуется бесперебойная работа и отказоустойчивость. 

Для поддержания работоспособности системы используются автоматизированные системы мониторинга, которые отслеживают возникающие в системе ошибки, для уведомления ответственных лиц и устранения инцидента. Но из-за сезонности данных (например, разное количество просмотра на сайте днем и ночью), автоматизированный мониторинг с помощью стандартных инструментов становится невозможным.

Необходимо реализовать инструмент, визуальная часть которого может быть реализована как веб-страница, который анализирует работу веб-приложения, данные временных рядов (количество запросов, время ответа, потребление cpu, etc), и нахоит аномалии в этих данных.","ML engineer, Python Backend, DevOps, Frontend, Аналитик"
Автоматический анализ литературных произведений с помощью больших языковых моделей и машинного обучения,"Из литературных произведений выделяем характеристики персонажей (по фрагментам/главам) и строим визуализацию, которая демострирует сюжеты, изменение персонажей по ходу произведения, позволяет сгруппировать произведения (кластеризация) и т.д.","ML engineer, Python Backend, Аналитик, Дизайнер, DevOps"
Восстановление цвета фотографий при помощи средств машинного обучения,"Результатом работы предполагается веб-сервис, использующий разработанную студентом математическую модель для восстановления цвета загружаемых на этот сервис изображений. 

Восстановление цветов, особенно на ранних черно-белых фотографиях, сделанных до начала XIX века, представляет достаточно сложную задачу. Однако с развитием машинного обучения данная задача получила значительный толчок и позволила получать все более и более впечатляющие результаты. """"Гонка вооружений"""" в этой сфере компьютерного зрения не прекращается ни на день.","ML engineer, CV engineer, Python Backend, Frontend, Дизайнер"
Автоматизация тестирования автопилота,"- Взаимодействие прошивки автопилота в режиме ситл с моделью динамики
- Формирование типовых сценариев полёта и формализация ожидаемых результатов
- Проведение автоматических тестов по разработанным сценариям
- Анализ полученных результатов. Анализ близости к ожидаемым показателям. Сравнение с другими экспериментами.
","Тестировщик, Аналитик, ML engineer, DevOps, Дизайнер"
Детектирование борщевика сосновского на основании данных со снимков дрона,"Цель итоговой аттестационной работы – разработка нейросетевой модели, которая способна определять в видеопотоке дрона пораженные участки подстилающей поверхности. Данная задача будет считаться выполнена, если обученная модель будет выделять Борщевик на фоне остальных растений.","ML engineer, CV engineer, Python Backend, Дизайнер, Тестировщик"
Разработка веб-приложения для мониторинга и анализа работы виртуальных машин с использованием искусственного интеллекта,"Веб-приложение, которое будет проводить мониторинг и анализировать работу виртуальных машин. Искусственный интеллект будет использоваться для обнаружения аномалий, предсказания возможных проблем и рекомендаций по улучшению производительности.","Python Backend, ML engineer, DevOps, Frontend, Аналитик"
Формирование чат бота с искусственным интеллектом для помощи в работе HR-менеджера,"Цель: создание чат-бота с поддержкой искусственного интеллекта для автоматизации работы 

Задачи:  
• создание чат бота с помощью блок схемы 
• приписывание вопросов и ответов чат-бота 
• подключение искусственного интеллекта к блок схеме","ML engineer, Python Backend, DevOps, Тестировщик, Аналитик"
Применение сверточных нейронных сетей для сегментации сосудов при наличии стеноза с использованием данных рентгеновской коронарографии,"Этот проект фокусируется на использовании сверточных нейронных сетей (СНС) для анализа изображений, полученных методом рентгеновской коронарографии. Цель проекта — автоматизировать процесс сегментации коронарных сосудов для обнаружения стенозов, что является ключевым для диагностики и лечения сердечно-сосудистых заболеваний. СНС способны обучаться на большом объеме данных, выявляя сложные паттерны и особенности, что делает их идеальными для задач сегментации изображений, особенно в медицинской сфере, где точность критически важна.","ML engineer, Python Backend, Аналитик, Дизайнер, Тестировщик"
Ледовая разведка в Карском море,Мониторинг ледников и ледовая разведка в Карском море и методами машинного обучения по данным ДЗЗ.,"ML engineer, Python Backend, DevOps, Аналитик, CV engineer"
Разработка концепта экспертной системы по предполетному контролю авиационного боевого комплекса,"Целевая аудитория: Авиационные технические отряды в составе инженерно-авиационной службы воинских частей. 

Образ результата: Устройство, позволяющее в режиме видеонаблюдения фиксировать недочеты и неисправности авиационного боевого комплекса в процессе предполетной подготовки.

Цель проекта: Повысить эффективность предполетной подготовки авиационного боевого комплекса. Внедрение дополнительной степени защиты от невнимательности инженеров авиационных технических отрядов.","Инженер БПЛА, ML engineer, Тестировщик, Аналитик, Дизайнер"
Формирование БД для Postgresql на основе ER-модели,"Нужно будет провести исследование существующих инструментов ER моделирования баз данных. Результатом должно стать desktop приложение с графическим интерфейсом или без (c++/Qt либо PyQt), способное конструировать структуру БД на основе ER модели.","C++ Backend, Python Backend, Дизайнер, Аналитик, Тестировщик"
"Расчет сбора, отведения и очистки поверхностного стока","**Тип проекта (сервис, продукт, модель, алгоритм и т.п.):**
Сервис


**Цель проекта:**
Автоматизация процессов расчета количественных и качественных характеристик поверхностного стока для проектирования систем водоотведения и очистки. 


**Задачи проекта:**

1. создание и распределение ролей в команде
2. выбор языка программирования 
3. определение входных и выходных параметров
4. создание программного обеспечения на основе расчетного файла с формулами


**Результат проекта:**
Программное обеспечение, позволяющее рассчитать объем поверхностных вод на основе заданных характеристик (количества водонепроницаемых поверхностей, климатической зоны и т.д), объем сооружений для очистки воды 
","Аналитик, Python Backend, Дизайнер, Тестировщик, DevOps"
